web_scraper_order,web_scraper_start_url,pagination,name,data3,image,item_page_title,item_page_link,ingredients_from_packaging,title,data_1,image_1
"1773514311-1","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'Oreal Paris Revitalift Bright Reveal Brightening Dual...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/kwikee/071/249/328/453.jpg","L'Oréal Paris
         L'Oreal Paris Revitalift Bright Reveal Brightening Dual...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/849782-LOral_Paris_LOreal_Paris_Revitalift_Bright_Reveal_Brightening_Dual_Overnight_Moisturizer_2019_formulation/","","","",""
"1773514315-2","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'Oreal Paris Superior Preference Hair Color Warmer 6-1/2G...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/525121/original.","L'Oréal Paris
         L'Oreal Paris Superior Preference Hair Color Warmer 6-1/2G...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/924033-LOral_Paris_LOreal_Paris_Superior_Preference_Hair_Color_Warmer_612G_Lightest_Golden_Brown_2020_formulation/","COLOR GEL: AQUA/WATER/EAU, TRIDECETH-2 CARBOXAMIDE MEA, PROPYLENE GLYCOL, HEXYLENE GLYCOL, PEG-2 OLEAMINE, POLYGLYCERYL-4 OLEYL ETHER, OLEYL ALCOHOL, ALCOHOL DENAT., AMMONIUM HYDROXIDE, POLYGLYCERYL-2 OLEYL ETHER, OLEIC ACID, SODIUM DIETHYLAMINOPROPYL COCOASPARTAMIDE, PENTASODIUM PENTETATE, AMMONIUM ACETATE, PARFUM/FRAGRANCE, SODIUM METABISULFITE, RESORCINOL, P-AMINOPHENOL, ERYTHORBIC ACID, P-PHENYLENEDIAMINE, M-AMINOPHENOL, 2-METHYL-5-HYDROXYETHYLAMINOPHENOL, ALPHA-ISOMETHYL IONONE, EUGENOL, 2,4-DIAMINOPHENOXYETHANOL HCL, LINALOOL, CITRONELLOL, 6-HYDROXYINDOLE, 2-METHYLRESORCINOL, COLOR OPTIMIZING CREME: AQUA/WATER/EAU, HYDROGEN PEROXIDE, CETEARYL ALCOHOL, TRIDECETH-2 CARBOXAMIDE MEA, CETEARETH-25, GLYCERIN, PENTASODIUM PENTETATE, SODIUM STANNATE, TETRASODIUM PYROPHOSPHATE, PHOSPHORIC ACID CARE SUPREME  CONDITIONER: AQUA/WATER/EAU, CETEARYL ALCOHOL, GLYCERIN, BEHENTRIMONIUM CHLORIDE, CANDELILLA CERA/CANDELILLA WAX/CIRE DE CANDELILLA, AMODIMETHICONE, CETYL ESTERS, ISOPROPYL ALCOHOL, ALCOHOL DENAT., LECITHIN, TOCOPHEROL, SODIUM PCA, OLETH-10, PPG-5-CETETH-20, ETHYLHEXYL SALICYLATE, TRIDECETH-6, CHLORHEXIDINE DIHYDROCHLORIDE, LIMONENE, CAMELINA SATIVA OIL/CAMELINA SATIVA SEED OIL, LINALOOL, BENZYL ALCOHOL, BENZYL BENZOATE, PHOSPHORIC ACID, PARFUM/FRAGRANCE, GERANIOL, DISODIUM COCOAMPHODIPROPIONATE, CETRIMONIUM CHLORIDE, BUTYLPHENYL METHYLPROPIONAL, CITRONELLOL, HEXYL CINNAMAL, AMYL CINNAMAL","L'Oreal Paris Superior Preference Hair Color Warmer 6-1/2G Lightest Golden Brown (2020 formulation)","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/525121/original."
"1773514319-3","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'oreal Paris Superior Preference High Tenacity Dyes, Rich...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/kwikee/071/249/340/318.jpg","L'Oréal Paris
         L'oreal Paris Superior Preference High Tenacity Dyes, Rich...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/940834-LOral_Paris_Loreal_Paris_Superior_Preference_High_Tenacity_Dyes_Rich_Luminous_Conditioning_Colorant_2020_formulation/","COLOR GEL : AQUA/WATER/EAU ? TRIDECETH-2 CARBOXAMIDE MEA ? PROPYLENE GLYCOL ? HEXYLENE GLYCOL ? PEG-2 OLEAMINE ? POLYGLYCERYL-4 OLEYL ETHER ? OLEYL ALCOHOL ? ALCOHOL DENAT. ? POLYGLYCERYL-2 OLEYL ETHER ? AMMONIUM HYDROXIDE ? OLEIC ACID ? SODIUM DIETHYLAMINOPROPYL COCOASPARTAMIDE ? 2,4-DIAMINOPHENOXYETHANOL HCI ? PENTASODIUM PENTETATE ? AMMONIUM ACETATE ? P-PHENYLENEDIAMINE ? PARFUM/FRAGRANCE ? AMMONIUM THIOLACTATE ? ERYTHORBIC ACID ? N,N-BIS(2-HYDROXYETH-YL) -P-PHENYLENEDIAMINE SULFATE ? M-AMINOPHENOL ? RESORCINOL ? HYDROXYPROPYL BIS(N-HYDROXYETH-YL-P-PHENYLENEDIAMINE) HCL ? 4-AMINO-2-HYDROXYTOLUENE ? ALPHA-ISOMETHYL IONONE ? EUGENOL ? LINALOOL ? CITRONELLOL COLOR OPTIMIZING CREME : AQUA/WATER/EAU ? HYDROGEN PEROXIDE ? CETEARYL ALCOHOL ? TRIDECETH-2 CARBOXAMIDE MEA ? CETEARETH-25 ? GLYCERIN ? PENTASODIUM PENTETATE ? SODIUM STANNATE ? TETRASODIUM PYROPHOSPHATE ? PHOSPHORIC ACID CARE SUPREME? CONDITIONER : AQUA/WATER/EAU ? CETEARYL ALCOHOL ? GLYCERIN ? BEHENTRIMONIUM CHLORIDE ? CANDELILLA CERA/CANDELILLA WAX/CIRE DE CANDELILLA ? AMODIMETHICONE ? CETYL ESTERS ? ISOPROPYL ALCOHOL ? PARFUM/FRAGRANCE ? SODIUM PCA ? TRIDECETH-6 ? LINALOOL ? HEXYL CINNAMAL ? BENZYL ALCOHOL ? CHLORHEXIDINE DIHYDROCHLORIDE ? CETRIMONIUM CHLORIDE ? BUTYLPHENYL METHYLPROPIONAL ? LIMONENE ? ALCOHOL DENAT. ? GERANIOL ? AMYL CINNAMAL ? PPG-5-CETETH-20 ? BENZYL BENZOATE ? CAMELINA SATIVA SEED OIL ? OLETH-10 ? CITRONELLOL ? DISODIUM COCOAMPHODIPROPIONATE ? LECITHIN ? PHOSPHORIC ACID ? TOCOPHEROL ? ETHYLHEXYL SALICYLATE","L'oreal Paris Superior Preference High Tenacity Dyes, Rich Luminous Conditioning Colorant (2020 formulation)","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/kwikee/071/249/340/318.jpg"
"1773514322-4","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'Oreal Paris Couleur Experte Express Color + Highlights 3.5...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/546690/original.","L'Oréal Paris
         L'Oreal Paris Couleur Experte Express Color + Highlights 3.5...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/928397-LOral_Paris_LOreal_Paris_Couleur_Experte_Express_Color__Highlights_35_Red_Cherry_Chocolate_Mousses_Darkest_Mahogany_Brown_1_kt_2020_formulation/","MULTI-TONAL GEL CREME COLOR BASE: AQUA/WATER/EAU, DECETH-3, LAURETH-12, COCAMIDE MIPA, OLETH-30, AMMONIUM HYDROXIDE, DECETH-5, GLYCERIN, OLEIC ACID, OLEYL ALCOHOL, HEXADIMETHRINE CHLORIDE, 2-AMINO-3-HYDROXYPYRIDINE, P-AMINOPHENOL, 4-AMINO-2-HYDROXYTOLUENE, ASCORBIC ACID, HYDROXYETHYLCELLULOSE, ETHANOLAMINE, POLYQUATERNIUM-6, POLYQUATERNIUM-67, AMMONIUM THIOLACTATE, LIMONENE, 2-METHYL-5-HYDROXYETHYLAMINOPHENOL, LINALOOL, ISOPROPANOLAMINE, P-PHENYLENEDIAMINE, PARFUM/FRAGRANCE, GERANIOL, RESORCINOL, EDTA, CITRONELLOL MICRO-FINE ILLUMINATING POWDER: POTASSIUM PERSULFATE, SODIUM SILICATE, SODIUM PERSULFATE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, UREA, KAOLIN, MAGNESIUM STEARATE, AMMONIUM CHLORIDE, DIETHYLHEXYL SODIUM SULFOSUCCINATE, VP/VA COPOLYMER, HYDROGENATED POLYDECENE, SODIUM METASILICATE, MAGNESIUM HYDROXIDE, EDTA, CI 77891/ TITANIUM DIOXIDE, CYAMOPSIS TETRAGONOLOBUS GUM/GUAR GUM, SODIUM CARBOXYMETHYL STARCH, MAGNESIUM PEROXIDE, SODIUM BENZOATE, CI 77007/ULTRAMARINES MULTI-TONAL DEVELOPER: AQUA/WATER/EAU, HYDROGEN PEROXIDE, CETEARYL ALCOHOL, TRIDECETH-2 CARBOXAMIDE MEA, CETEARETH-25, GLYCERIN, PENTASODIUM PENTETATE, SODIUM STANNATE, TETRASODIUM PYROPHOSPHATE, PHOSPHORIC ACID ILLUMINATING CREME DEVELOPER: AQUA/WATER/EAU, HYDROGEN PEROXIDE, CETEARYL ALCOHOL, TRIDECETH-2 CARBOXAMIDE MEA, CETEARETH-25, GLYCERIN, PENTASODIUM PENTETATE, SODIUM STANNATE, TETRASODIUM PYROPHOSPHATE, PHOSPHORIC ACID ANTI-BRASS CONDITIONER WITH DIRECT DYE: AQUA/WATER/EAU, CETEARYL ALCOHOL, BEHENTRIMONIUM CHLORIDE, AMODIMETHICONE, CETYL ALCOHOL, C12-15 ALKYL BENZOATE, PARFUM/FRAGRANCE, ISOPROPYL ALCOHOL, HYDROXYETHYLCELLULOSE, TRIDECETH-6, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, LINALOOL, HEXYL CINNAMAL, CHLORHEXIDINE DIGLUCONATE, BENZYL ALCOHOL, CITRIC ACID, BUTYLPHENYL METHYLPROPIONAL, CETRIMONIUM CHLORIDE, LIMONENE, GERANIOL, AMYL CINNAMAL, BENZYL BENZOATE, HYDROXYANTHRAQUINONEAMINOPROPYL METHYL MORPHOLINIUM METHOSULFATE, SODIUM HYDROXIDE","L'Oreal Paris Couleur Experte Express Color + Highlights 3.5 Red Cherry Chocolate Mousses Darkest Mahogany Brown 1 kt (2020 formulation)","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/546690/original."
"1773514326-5","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'oreal Paris 606 Mauve Glow Plump Pro Gloss","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/646335/original.","L'Oréal Paris
         L'oreal Paris 606 Mauve Glow Plump Pro Gloss
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/1006016-LOral_Paris_Loreal_Paris_606_Mauve_Glow_Plump_Pro_Gloss/","TRIMETHYLSILOXYPHENYL DIMETHICONE, ACRYLIC ACID/ISOBUTYL ACRYLATE/ISOBORNYL ACRYLATE COPOLYMER, OCTYLDODECANOL, ISODODECANE, POLYBUTENE, SQUALANE, SILICA DIMETHYL SILYLATE, MENTHONE GLYCERIN ACETAL, OCTYLDODECYL NEOPENTANOATE, PENTYLENE GLYCOL, SILICA, CAPRYLYL GLYCOL, CALCIUM ALUMINUM BOROSILICATE, ETHYL MENTHANE CARBOXAMIDE, ALUMINA, ETHYLHEXYL PALMITATE, TOCOPHERYL ACETATE, CALCIUM SODIUM BOROSILICATE, SYNTHETIC FLUORPHLOGOPITE, MENTHA PIPERITA OIL / PEPPERMINT OIL, BARIUM SULFATE, CITRONELLOL, TRIBEHENIN, COLOPHONIUM / ROSIN / COLOPHANE, MAGNESIUM SILICATE, ALUMINUM HYDROXIDE, GERANIOL, TIN OXIDE, SORBITAN ISOSTEARATE, BENZYL ALCOHOL, TRIHYDROXYSTEARIN, LINALOOL, LIMONENE, LACTIC ACID, SODIUM HYALURONATE, PALMITOYL TRIPEPTIDE-1, GLUCOMANNAN, FRAGRANCE, [+/- MAY CONTAIN CI 77891 / TITANIUM DIOXIDE, CI 77491, CI 77492, CI 77499 / IRON OXIDES, CI 45410 / RED 28 LAKE, CI 15850 / RED 7, MICA, CI 45380 / RED 22 LAKE, CI 15850 / RED 6, CI 17200 / RED 33 LAKE, CI 77742 / MANGANESE VIOLET, CI 15985 / YELLOW 6 LAKE, CI 15850 / RED 7 LAKE, CI 19140 / YELLOW 5 LAKE, CI 42090 / BLUE 1 LAKE, CI 75470 / CARMINE], FIL CODE B269998/1","L'oreal Paris 606 Mauve Glow Plump Pro Gloss","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/646335/original."
"1773514330-6","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'Oreal Paris Hair Expert EverStrong Sulfate Free Break...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/kwikee/071/249/341/100.jpg","L'Oréal Paris
         L'Oreal Paris Hair Expert EverStrong Sulfate Free Break...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/885132-LOral_Paris_LOreal_Paris_Hair_Expert_EverStrong_Sulfate_Free_Break_Proof_Lotion_2018_formulation/","1041711 EP2: WATER, CYCLOPENTASILOXANE, PROPYLENE GLYCOL, DIMETHICONOL, PHENOXYETHANOL, TRIETHANOLAMINE, PEG / PPG-17 / 18 DIMETHICONE, CARBOMER, FRAGRANCE, BEHENTRIMONIUM CHLORIDE, CAPRYLYL GLYCOL, POLYQUATERNIUM-4, POTATO STARCH MODIFIED, HYDROXYPROPYL GUAR, AMODIMETHICONE, LYCIUM BARBARUM FRUIT EXTRACT, ETHYLHEXYL METHOXYCINNAMATE, ISOPROPYL ALCOHOL, HEXADIMETHRINE CHLORIDE, MENTHA PIPERITA LEAF EXTRACT / PEPPERMINT LEAF EXTRACT, QUATERNIUM-87, EUTERPE OLERACEA FRUIT EXTRACT, LIMONENE, TRIDECETH-6, LINALOOL, BUTYLPHENYL METHYLPROPIONAL, 2-OLEAMIDO-1,3-OCTADECANEDIOL, ROSMARINUS OFFICINALIS LEAF OIL/ROSEMARY LEAF OIL, CITRONELLOL, MALTODEXTRIN, CETRIMONIUM CHLORIDE, COUMARIN, GERANIOL, CITRAL, BHT.","L'Oreal Paris Hair Expert EverStrong Sulfate Free Break Proof Lotion (2018 formulation)","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/kwikee/071/249/341/100.jpg"
"1773514333-7","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'oreal Paris Daily Moisturizer Collagen Moisture Filler","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/592358/original.","L'Oréal Paris
         L'oreal Paris Daily Moisturizer Collagen Moisture Filler
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/949511-LOral_Paris_Loreal_Paris_Daily_Moisturizer_Collagen_Moisture_Filler/","AQUA/WATER, CYCLOHEXASILOXANE, GLYCERIN, BUTYROSPERMUM PARKII BUTTER/SHEA BUTTER, ISOHEXADECANE, PENTAERYTHRITYL TETRAETHYLHEXANOATE, DIPROPYLENE GLYCOL, CERA ALBA/BEESWAX, STEARIC ACID, PALMITIC ACID, CYCLOPENTASILOXANE, ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER, PEG-100 STEARATE, STEARYL ALCOHOL, GLYCERYL STEARATE, PEG-20 STEARATE, SORBITAN OLEATE, GLYCINE SOJA OIL/SOYBEAN OIL, DIMETHICONOL, MANGANESE GLUCONATE, SODIUM CHONDROITIN SULFATE, SODIUM HYDROXIDE, SILICA DIMETHYL SILYLATE, MYRISTIC ACID, ATELOCOLLAGEN, DISODIUM EDTA, PROPYLENE GLYCOL, CAPRYLYL GLYCOL, CITRIC ACID, TRISODIUM EDTA, PENTAERYTHRITYL TETRAISOSTEARATE, SOLUBLE COLLAGEN, BOSWELLIA SERRATA RESIN EXTRACT, POLYSORBATE 80, BUTYLENE GLYCOL, HEXYLENE GLYCOL, TOCOPHEROL, POTASSIUM SORBATE, METHYLPARABEN, PHENOXYETHANOL, LINALOOL, ALPHA-ISOMETHYL IONONE, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, CITRONELLOL, BUTYLPHENYL METHYLPROPIONAL, HEXYL CINNAMAL, BENZYL ALCOHOL, BENZYL SALICYLATE, PARFUM/FRAGRANCE.","L'oreal Paris Daily Moisturizer Collagen Moisture Filler","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/592358/original."
"1773514335-8","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'Oreal Paris Hydra Perfecte Perfecting Loose Powder, 918...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/Kwikeesystems/1516917598_63289/071249711033_CF___JPEG_3.JPG","L'Oréal Paris
         L'Oreal Paris Hydra Perfecte Perfecting Loose Powder, 918...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/862175-LOral_Paris_LOreal_Paris_Hydra_Perfecte_Perfecting_Loose_Powder_918_Medium_2019_formulation/","NYLON-12, PTFE, ACRYLATES COPOLYMER, TRIOCTYLDODECYL CITRATE, MAGNESIUM STEARATE, BORON NITRIDE, PARAFFINUM LIQUIDUM / MINERAL OIL, LAUROYL LYSINE, ISOPROPYL TITANIUM TRIISOSTEARATE, FRAGRANCE, BENZYL SALICYLATE, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, ALPHA-ISOMETHYL IONONE, HYDROXYCITRONELLAL, GERANIOL, COUMARIN, HEXYL CINNAMAL, LINALOOL, ISOEUGENOL, EUGENOL, CINNAMYL ALCOHOL, CITRONELLOL, METHYLPARABEN, PROPYLPARABEN MAY CONTAIN: [+/- MICA CI 77499, CI 77491, CI 77492/IRON OXIDES, I 77120 / BARIUM SULFATE, CI 77891 / TITANIUM DIOXIDE]","L'Oreal Paris Hydra Perfecte Perfecting Loose Powder, 918 Medium (2019 formulation)","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/Kwikeesystems/1516917598_63289/071249711033_CF___JPEG_3.JPG"
"1773514339-9","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=85","L'Oreal Paris Superior Preference Hair Color Natural 9...","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://static.ewg.org/skindeep/img/missing_images/sd_logo.png","L'Oréal Paris
         L'Oreal Paris Superior Preference Hair Color Natural 9...
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/924030-LOral_Paris_LOreal_Paris_Superior_Preference_Hair_Color_Natural_9_Blonde_2020_formulation/","COLOR GEL: AQUA/WATER/EAU, TRIDECETH-2 CARBOXAMIDE MEA, PROPYL-ENE GLYCOL, HEXYLENE GLYCOL, PEG-2 OLEAMINE, POLYGLY-CERYL-4 OLEYL ETHER, AMMONIUM HYDROXIDE, OLEYL ALCOHOL, ALCOHOL DENAT., POLYGLYCERYL-2 OLEYL ETHER, OLEIC ACID, SODIUM DIETHYLAMINOPROPYL COCOASPART-AMIDE, PENTASODIUM PENTETATE, AMMONIUM ACETATE, PARFUM/FRAGRANCE, SODIUM METABISULFITE, ERYTHORBIC ACID, RESORCINOL, P-AMINOPHENOL, P-PHENYLENEDIAMINE, ALPHA-ISOMETHYL IONONE, EUGENOL, M-AMINOPHENOL, LINALOOL, CITRONELLOL, HYDROXYPROPYL BIS(N-HYDROXY-ETHYL-P-PHENYLENEDIAMINE) HCL COLOR OPTIMIZING CREME: AQUA/WATER/EAU, HYDROGEN PEROXIDE, CETEARYL ALCO-HOL, TRIDECETH-2 CARBOXAMIDE MEA, CETEARETH-25, GLYCERIN, PENTASODIUM PENTETATE, SODIUM STANNATE, TETRASODIUM PYROPHOSPHATE, PHOSPHORIC ACID CARE SUPREME  CONDITIONER: AQUA/WATER/EAU, CETEARYL ALCOHOL, GLYCERIN, BEHEN-TRIMONIUM CHLORIDE, CANDELILLA CERA/CANDELILLA WAX/CIRE DE CANDELILLA, AMODIMETHICONE, CETYL ESTERS, ISOPROPYL ALCOHOL, ALCOHOL DENAT., LECITHIN, TOCO-PHEROL, SODIUM PCA, OLETH-10, PPG-5-CETETH-20, ETHYLHEXYL SALICYLATE, TRIDECETH-6, CHLORHEXIDINE DIHYDROCHLORIDE, LIMONENE, CAMELINA SATIVA OIL/ CAMELINA SATIVA SEED OIL, LINALOOL, BENZYL ALCOHOL, BENZYL BENZOATE, PHOSPHORIC ACID, PARFUM/FRAGRANCE, GERANIOL, DISODIUM COCOAMPHODIPROPIONATE, CETRIMONIUM CHLORIDE, BUTYLPHENYL METHYLPROPIONAL, CITRONELLOL, HEXYL CINNAMAL, AMYL CINNAMAL","L'Oreal Paris Superior Preference Hair Color Natural 9 Blonde (2020 formulation)","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://static.ewg.org/skindeep/img/missing_images/sd_logo.png"
"1773514343-10","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/","https://www.ewg.org/skindeep/browse/brands/11933-l-oreal-paris/?brand=L%27Or%C3%A9al+Paris&page=84","L'oreal Paris 611 Ruby Sheen Plump Pro Gloss","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=480,height=480,quality=60/https://phorcys-static.ewg.org/image/contents/636541/original.","L'Oréal Paris
         L'oreal Paris 611 Ruby Sheen Plump Pro Gloss
      
      
        
            
              
                HIGH HAZARD
              Data Availability: Fair","https://www.ewg.org/skindeep/products/1006219-LOral_Paris_Loreal_Paris_611_Ruby_Sheen_Plump_Pro_Gloss/","TRIMETHYLSILOXYPHENYL DIMETHICONE, ACRYLIC ACID/ISOBUTYL ACRYLATE/ISOBORNYL ACRYLATE COPOLYMER, OCTYLDODECANOL, ISODODECANE, POLYBUTENE, SQUALANE, SILICA DIMETHYL SILYLATE, MENTHONE GLYCERIN ACETAL, OCTYLDODECYL NEOPENTANOATE, PENTYLENE GLYCOL, SILICA, CAPRYLYL GLYCOL, CALCIUM ALUMINUM BOROSILICATE, ETHYL MENTHANE CARBOXAMIDE, ALUMINA, ETHYLHEXYL PALMITATE, TOCOPHERYL ACETATE, CALCIUM SODIUM BOROSILICATE, SYNTHETIC FLUORPHLOGOPITE, MENTHA PIPERITA OIL / PEPPERMINT OIL, BARIUM SULFATE, CITRONELLOL, TRIBEHENIN, COLOPHONIUM / ROSIN / COLOPHANE, MAGNESIUM SILICATE, ALUMINUM HYDROXIDE, GERANIOL, TIN OXIDE, SORBITAN ISOSTEARATE, BENZYL ALCOHOL, TRIHYDROXYSTEARIN, LINALOOL, LIMONENE, LACTIC ACID, SODIUM HYALURONATE, PALMITOYL TRIPEPTIDE-1, GLUCOMANNAN, FRAGRANCE, [+/- MAY CONTAIN CI 77891 / TITANIUM DIOXIDE, CI 77491, CI 77492, CI 77499 / IRON OXIDES, CI 45410 / RED 28 LAKE, CI 15850 / RED 7, MICA, CI 45380 / RED 22 LAKE, CI 15850 / RED 6, CI 17200/ RED 33 LAKE, CI 77742 / MANGANESE VIOLET, CI 15985 / YELLOW 6 LAKE, CI 15850 / RED 7 LAKE, CI 19140 / YELLOW 5 LAKE, CI 42090 / BLUE 1 LAKE, CI 75470 / CARMINE], FIL CODE B269998/1","L'oreal Paris 611 Ruby Sheen Plump Pro Gloss","L'Oréal Paris","https://phorcys-static.ewg.org/cdn-cgi/image/width=560,height=800,quality=60/https://phorcys-static.ewg.org/image/contents/636541/original."
